Altium Designer Pick and Place Locations
C:\Users\ACER\Desktop\esp32\Project Outputs for esp32\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       06/12/23
Time:       14:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D1","LED Indication - Discrete","TopLayer","0805_(2012_Metric)_Orange","25.0825","34.8701","90","Oreki"
"C32","CAP","TopLayer","CAP0402","92.7735","21.7805","180","CAP SM 0402 X7R 100NF"
"C31","CAP","TopLayer","CAP0402","92.7735","23.4315","180","CAP SM 0402 X7R 100NF"
"C22","CAP","TopLayer","CAP0402","86.1255","17.9705","0","CAP SM 0402 X7R 100NF"
"C21","CAP","TopLayer","CAP0603","86.6005","16.0655","0","CAP SM 0603 X5R 10uF"
"C20","CAP","TopLayer","CAP0402","20.1295","7.0485","90","CAP SM 0402 X5R 4.7UF"
"C19","CAP","TopLayer","CAP0402","19.1135","7.0485","90","CAP SM 0402 X7R 100NF"
"C15","CAP","TopLayer","CAP0402","15.5575","1.5875","180","CAP SM 0402 X7R 100NF"
"C14","CAP","TopLayer","CAP0402","15.6015","32.7025","180","CAP SM 0402 X7R 100NF"
"C9","CAP","TopLayer","CAP0402","86.1255","22.5425","0","CAP SM 0402 X7R 100NF"
"C3","CAP","TopLayer","CAP0603","30.2895","34.6075","270","CAP SM 0603 X5R 10uF"
"C1","CAP","TopLayer","CAP0603","27.2415","34.5175","90","CAP SM 0603 X5R 10uF"
"BTN2","Button","TopLayer","SW_1571563-7","6.9215","34.9885","180","Oreki"
"BTN1","Button","TopLayer","SW_1571563-7","7.0705","4.0365","0","Oreki"
